light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,weekday
0,1,1,1,0,0,0,0.254310345,0.482758621,1,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,1,0,0,1
0,1,1,1,0,0,0,0.254310345,0.452586207,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.465517241,1,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.487068966,1,0,0,1
0,1,1,1,0,0,0,0.254310345,0.487068966,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.487068966,0,0,0,1
0,1,1,1,0,0,0,0.254310345,0.487068966,1,0,0,1
0,0,0,1,0,0,0,0.254310345,0.5,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.5,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.525862069,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.525862069,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.543103448,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.543103448,0,0,0,1
0,0,0,1,0,1,0,0.254310345,0.556034483,0,0,0,1
0,0,0,1,0,1,0,0.254310345,0.556034483,1,0,0,1
0,0,0,1,0,1,0,0.254310345,0.573275862,0,0,0,1
0,0,0,1,0,1,0,0.254310345,0.573275862,1,0.5,0,1
0,0,0,1,0,1,0,0.254310345,0.573275862,0,0.5,0,1
0,0,0,1,0,1,0,0.202586207,0.573275862,0,0.5,0,1
0,0,0,1,0,1,0,0.202586207,0.573275862,0,0.5,0,1
0,0,0,1,0,1,0,0.202586207,0.573275862,1,0.5,0,1
0,0,0,1,0,1,0,0.146551724,0.564655172,0,0.5,0,1
0,0,0,1,0,1,0,0.146551724,0.564655172,0,0.5,0,1
0,0,0,1,0,1,0,0.146551724,0.564655172,0,0.5,0,1
0,0,0,1,0,1,0,0.146551724,0.564655172,0,0.5,0,1
0,0,0,1,0,1,0,0.146551724,0.586206897,1,0.5,0,1
0,0,0,1,0,1,0,0.090517241,0.61637931,1,0.5,0,1
0,0,0,1,0,1,0,0.090517241,0.629310345,0,0.5,0,1
0,0,0,1,0,1,0,0.090517241,0.629310345,0,0.5,0,1
0,0,0,1,0,1,0,0.043103448,0.629310345,0,0.5,0,1
0,0,0,1,0,1,0,0.043103448,0.629310345,0,0.5,0,1
0,0,0,1,0,1,0,0.043103448,0.590517241,0,0.5,0,1
0,0,0,1,0,1,0,0,0.590517241,0,0.5,0,1
0,0,0,0,0,1,0,0,0.543103448,0,0.5,0,1
0,0,0,0,0,1,0,0,0.530172414,0,0.5,0,1
0,0,0,0,1,1,0,0.021551724,0.504310345,1,0.5,0,1
0,1,1,0,0,1,0,0.068965517,0.487068966,0,0,0,1
0,1,1,0,0,1,0,0.068965517,0.487068966,0,0,0,1
0,1,1,0,0,1,0,0.125,0.474137931,0,0,0,1
0,1,1,0,0,1,0,0.172413793,0.474137931,0,0,0,1
0,1,1,0,0,1,0,0.172413793,0.474137931,0,0,0,1
0,1,1,0,0,1,0,0.172413793,0.474137931,0,0,0,1
0,1,1,0,0,1,0,0.215517241,0.456896552,0,0,0,1
0,1,1,0,0,1,0,0.215517241,0.456896552,0,0,0,1
0,1,1,0,0,1,0,0.215517241,0.443965517,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.443965517,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.443965517,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.443965517,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.443965517,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,0,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,1,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,1,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,1,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,1,0.215517241,0.431034483,0,0,0,1
0,1,1,1,0,1,1,0.215517241,0.431034483,0,0,0,1
1,1,1,1,0,1,0,0.215517241,0.431034483,0,0,0,1
